nome_marca,nome_modelo,ano_modelo,preco_limpo,eh_zero_km
APRILIA,LEONARDO 150cc,1998,5761.0,False
APRILIA,LEONARDO 150cc,2000,6675.0,False
APRILIA,LEONARDO 150cc,1999,6491.0,False
APRILIA,MOTO 650cc,2000,13947.0,False
APRILIA,MOTO 650cc,1999,13151.0,False
APRILIA,MOTO 650cc,1998,11550.0,False
APRILIA,PEGASO 650cc,2000,12725.0,False
APRILIA,PEGASO 650cc,2002,17702.0,False
APRILIA,PEGASO 650cc,2001,15034.0,False
APRILIA,PEGASO 650cc,1998,10582.0,False
APRILIA,RALLY 50cc,2000,3011.0,False
APRILIA,RALLY 50cc,2001,3498.0,False
APRILIA,PEGASO 650cc,1999,11882.0,False
APRILIA,RALLY 50cc,1998,2509.0,False
APRILIA,RALLY 50cc,1999,2829.0,False
APRILIA,RS 250cc,1998,11206.0,False
APRILIA,RS 250cc,2000,12910.0,False
APRILIA,RS 50cc,2000,5174.0,False
APRILIA,RS 50cc,2001,5788.0,False
APRILIA,RS 50cc,1998,4177.0,False
APRILIA,RS 250cc,1999,11936.0,False
APRILIA,RS 50cc,1999,4945.0,False
APRILIA,RSV MILLE 1000cc,1999,17761.0,False
APRILIA,RSV MILLE 1000cc,2000,19194.0,False
APRILIA,RX 50cc,2000,3848.0,False
APRILIA,RX 50cc,1999,3505.0,False
APRILIA,RX 50cc,1998,3096.0,False
APRILIA,SCARABEO BRIGTH 50cc,1998,2614.0,False
APRILIA,SCARABEO BRIGTH 50cc,1999,2876.0,False
APRILIA,SCARABEO CLASSIC 50cc,1999,2858.0,False
APRILIA,SCARABEO CLASSIC 50cc,1998,2532.0,False
APRILIA,SCARABEO CLASSIC 50cc,2000,3059.0,False
APRILIA,SCARABEO DELUXE 50cc,2000,3659.0,False
APRILIA,SCARABEO DELUXE 50cc,1999,3443.0,False
APRILIA,SCARABEO DELUXE 50cc,1998,3052.0,False
APRILIA,SONIC 50cc,1998,1643.0,False
APRILIA,SONIC 50cc,2000,2174.0,False
APRILIA,SONIC 50cc,1999,1846.0,False
APRILIA,SR 150cc,2020,13462.0,False
APRILIA,SR 150cc,2017,13081.0,False
APRILIA,SR RACE 150cc,2017,14424.0,False
APRILIA,SR RACING 50cc,1998,4407.0,False
APRILIA,SR RACING 50cc,1999,5006.0,False
APRILIA,SR RACE 150cc,2020,16477.0,False
APRILIA,SR RACING 50cc,2001,7182.0,False
APRILIA,SR RACING 50cc,2000,5919.0,False
APRILIA,SR WWW 50cc,2001,3489.0,False
APRILIA,SR WWW 50cc,1998,2504.0,False
APRILIA,SR WWW 50cc,2000,3006.0,False
APRILIA,SR WWW 50cc,1999,2826.0,False
APRILIA,SXR 160cc,2022,26267.0,False
ATALA,MASTER 50cc,2001,1230.0,False
ATALA,MASTER 50cc,2003,1624.0,False
ATALA,MASTER 50cc,2002,1442.0,False
ATALA,CALIFFONE 50cc,2000,957.0,False
ATALA,CALIFFONE 50cc,2003,1381.0,False
ATALA,CALIFFONE 50cc,2001,990.0,False
ATALA,CALIFFONE 50cc,2002,1157.0,False
ATALA,MASTER 50cc,2000,1134.0,False
ATALA,SKEGIA 50cc,2002,1768.0,False
ATALA,SKEGIA 50cc,2000,1590.0,False
ATALA,SKEGIA 50cc,2003,2042.0,False
ATALA,SKEGIA 50cc,2001,1653.0,False
AVELLOZ,AZ 01 50cc,2021,5827.0,False
AVELLOZ,AZ 125 ALFA,2026,13845.0,True
AVELLOZ,AZ 125 ALFA,2025,11155.0,False
AVELLOZ,AZ 01 50cc,2026,11784.0,True
AVELLOZ,AZ 01 50cc,2022,6735.0,False
AVELLOZ,AZ 01 50cc,2025,8900.0,False
AVELLOZ,AZ 125 ALFA,2026,12827.0,True
AVELLOZ,AZ 01 50cc,2024,8136.0,False
AVELLOZ,AZ 01 50cc,2026,10545.0,True
AVELLOZ,AZ 01 50cc,2023,7282.0,False
AVELLOZ,AZ 160 XTREME,2026,19620.0,True
AVELLOZ,AZ 160 XTREME,2026,17771.0,True
AVELLOZ,AZ 160 XTREME,2025,16199.0,False
BAJAJ,CHAMPION 45 100cc,1998,986.0,False
BAJAJ,CHAMPION 45 100cc,1997,927.0,False
BAJAJ,CLASSIC 150cc,1998,1197.0,False
BAJAJ,DOMINAR 160,2026,17712.0,True
BAJAJ,DOMINAR 160,2024,15390.0,False
BAJAJ,DOMINAR 200,2023,15377.0,False
BAJAJ,DOMINAR 200,2025,17561.0,False
BAJAJ,DOMINAR 200,2024,16290.0,False
BAJAJ,DOMINAR 160,2023,14805.0,False
BAJAJ,DOMINAR 160,2025,16010.0,False
BAJAJ,DOMINAR 200,2026,19280.0,True
BAJAJ,DOMINAR 250,2024,18846.0,False
BAJAJ,DOMINAR 400,2026,24372.0,True
BAJAJ,DOMINAR 250,2025,19877.0,False
BAJAJ,DOMINAR 250,2026,23295.0,True
BAJAJ,DOMINAR 400,2023,20881.0,False
BAJAJ,DOMINAR 250,2026,20486.0,True
BAJAJ,DOMINAR 400,2024,21731.0,False
BAJAJ,DOMINAR 400,2025,23090.0,False
BAJAJ,DOMINAR 400,2026,26997.0,True
BAJAJ,DOMINAR NS160,2026,16878.0,True
BAJAJ,DOMINAR NS160,2026,18770.0,True
BAJAJ,DOMINAR NS400Z,2026,23540.0,True
BAJAJ,DOMINAR NS200,2026,18920.0,True
BAJAJ,DOMINAR NS200,2026,21444.0,True
BAJAJ,DOMINAR NS400Z,2026,26505.0,True
BAJAJ,PULSAR N150,2026,16176.0,True
BAJAJ,PULSAR N150,2026,15005.0,True
BEE,BEE 125cc Monaco,2015,5825.0,False
BEE,BEE 125cc Monaco,2016,6329.0,False
BEE,BEE 200cc GT,2019,12673.0,False
BEE,BEE 200cc Royale,2017,9500.0,False
BEE,BEE 200cc Royale,2016,9150.0,False
BEE,BEE 50cc,2017,6191.0,False
BEE,BEE 50cc,2019,7861.0,False
BEE,BEE 200cc Royale,2020,9787.0,False
BEE,BEE 50cc,2016,5553.0,False
BEE,Monaco 150cc,2019,8289.0,False
BEE,Monaco 150cc,2020,8497.0,False
Benelli,TNT 1130 Sport evo,2008,29688.0,False
Benelli,TNT 899,2008,27574.0,False
Benelli,TNT 899,2014,36373.0,False
Benelli,TNT Café 1130 Racer,2008,33584.0,False
Benelli,TRE 1130 K,2008,29559.0,False
Benelli,TRE 1130 K,2014,44977.0,False
Benelli,TRE 1130 K Amazonas,2014,49947.0,False
Benelli,TRE 1130 K Amazonas,2008,44358.0,False
Benelli,TRE 899 K,2014,39189.0,False
BETA,MX-50 ENDURO 50cc,2000,2397.0,False
BETA,MX-50 CROSS 50cc,2000,2119.0,False
BETA,MX-50 CROSS 50cc,2002,2369.0,False
BETA,MX-50 ENDURO 50cc,2001,2523.0,False
BETA,MX-50 ENDURO 50cc,2002,2668.0,False
BETA,MX-50 CROSS 50cc,2001,2202.0,False
BIMOTA,DB5R 1078cc,2008,37672.0,False
BIMOTA,DB4 904cc,2000,21834.0,False
BIMOTA,DB5R 1078cc,2009,39796.0,False
BIMOTA,DB5R 1078cc,2010,41077.0,False
BIMOTA,DB6 Delirio 1078cc,2009,38069.0,False
BIMOTA,DB6 Delirio 1078cc,2008,34224.0,False
BIMOTA,DB6 Delirio 1078cc,2010,40565.0,False
BIMOTA,DB6R Delirio 1078cc,2008,39111.0,False
BIMOTA,DB6R Delirio 1078cc,2009,40892.0,False
BIMOTA,DB6R Delirio 1078cc,2011,43674.0,False
BIMOTA,DB7 1099cc,2010,66683.0,False
BIMOTA,DB7 1099cc,2011,68351.0,False
BIMOTA,MANTRA 904cc,2000,19885.0,False
BIMOTA,SBR8 SPECIAL 996cc,2000,44211.0,False
BIMOTA,Tesi 3D 1100cc ( Alumínio),2009,45276.0,False
BIMOTA,Tesi 3D 1100cc ( Carbono ),2008,47215.0,False
BIMOTA,Tesi 3D 1100cc ( Alumínio),2010,51216.0,False
BIMOTA,Tesi 3D 1100cc ( Carbono ),2009,51314.0,False
BIMOTA,Tesi 3D 1100cc ( Carbono ),2010,59127.0,False
BMW,C 400 X Sport,2026,61881.0,True
BMW,C 400 X Sport,2024,50688.0,False
BMW,C 400 X,2026,63880.0,True
BMW,C 400 X,2024,51828.0,False
BMW,C 400 X,2025,56143.0,False
BMW,C 600 Sport,2013,38699.0,False
BMW,C 600 Sport,2015,43453.0,False
BMW,C 600 Sport,2014,42393.0,False
BMW,C 650 GT,2015,51814.0,False
BMW,C 650 GT,2014,44868.0,False
BMW,F 650,1996,17038.0,False
BMW,F 650,1997,17464.0,False
